Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_account/bonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,Other_debtors/guarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,foreign_worker,credit_risk
less than 116,11,existing credits paid back till now,furniture/equipment,1577,greater than 582,less than 1 year,4,female : divorced/separated/married,none,1,real estate,20,,own,1,skilled employee,1,none,Y,1
no checking account,24,existing credits paid back till now,furniture/equipment,3972,less than 116,less than 7 years,2,female : divorced/separated/married,none,4,building society saving agreement/life insurance,25,,rent,1,skilled employee,1,yes,Y,1
less than 116,24,critical account/ other credits existing,business,1935,less than 116,greater than 7 years,4,male : divocred/separated,none,4,real estate,31,,own,2,skilled employee,1,yes,Y,0
less than 0,15,no credits taken/all credit paid back,new car,950,less than 116,greater than 7 years,4,male : single,none,3,car or other,33,,rent,2,skilled employee,2,none,Y,0
no checking account,12,existing credits paid back till now,furniture/equipment,763,less than 116,less than 4 years,4,female : divorced/separated/married,none,1,real estate,26,,own,1,skilled employee,1,yes,Y,1
less than 116,24,delay in paying off in the past,furniture/equipment,2064,less than 116,unemployed,3,female : divorced/separated/married,none,2,building society saving agreement/life insurance,34,,own,1,self_employed/highly qualified employee,1,yes,Y,0
less than 116,8,existing credits paid back till now,radio/television,1414,less than 116,less than 4 years,4,male : single,guarantor,2,real estate,33,,own,1,skilled employee,1,none,N,1
less than 0,21,delay in paying off in the past,education,3414,less than 116,less than 1 year,2,male : single,none,1,building society saving agreement/life insurance,26,,own,2,skilled employee,1,none,Y,0
no checking account,30,all credits at this bank paid back,used car,7485,unkown/no savings account,unemployed,4,female : divorced/separated/married,none,1,real estate,53,none,own,1,self_employed/highly qualified employee,1,yes,Y,0
less than 0,12,existing credits paid back till now,furniture/equipment,2577,less than 116,less than 4 years,2,male : divocred/separated,none,1,car or other,42,,own,1,skilled employee,1,none,Y,1
less than 0,6,critical account/ other credits existing,radio/television,338,less than 582,greater than 7 years,4,male : single,none,4,car or other,52,,own,2,skilled employee,1,none,Y,1
no checking account,12,existing credits paid back till now,radio/television,1963,less than 116,less than 7 years,4,male : single,none,2,car or other,31,,rent,2,self_employed/highly qualified employee,2,yes,Y,1
less than 0,21,critical account/ other credits existing,new car,571,less than 116,greater than 7 years,4,male : single,none,4,real estate,65,,own,2,skilled employee,1,none,Y,1
no checking account,36,delay in paying off in the past,business,9572,less than 116,less than 1 year,1,male : divocred/separated,none,1,car or other,28,,own,2,skilled employee,1,none,Y,0
less than 116,36,delay in paying off in the past,business,4455,less than 116,less than 4 years,2,male : divocred/separated,none,2,real estate,30,stores,own,2,self_employed/highly qualified employee,1,yes,Y,0
less than 0,21,all credits at this bank paid back,new car,1647,unkown/no savings account,less than 4 years,4,male : single,none,2,building society saving agreement/life insurance,40,,own,2,unskilled,2,none,Y,0
no checking account,24,critical account/ other credits existing,furniture/equipment,3777,greater than 582,less than 4 years,4,male : single,none,4,real estate,50,,own,1,skilled employee,1,yes,Y,1
less than 116,18,critical account/ other credits existing,new car,884,less than 116,greater than 7 years,4,male : single,none,4,car or other,36,none,own,1,skilled employee,2,yes,Y,0
no checking account,15,critical account/ other credits existing,radio/television,1360,less than 116,less than 4 years,4,male : single,none,2,building society saving agreement/life insurance,31,,own,2,skilled employee,1,none,Y,1
less than 116,9,all credits at this bank paid back,used car,5129,less than 116,greater than 7 years,2,female : divorced/separated/married,none,4,unkown/no property,74,none,for free,1,self_employed/highly qualified employee,2,yes,Y,0
less than 116,16,critical account/ other credits existing,new car,1175,less than 116,unemployed,2,male : single,none,3,car or other,68,,for free,3,unemployed,1,yes,Y,1
less than 0,12,existing credits paid back till now,radio/television,674,less than 291,less than 7 years,4,male : married/widowed,none,1,building society saving agreement/life insurance,20,,own,1,skilled employee,1,none,Y,0
less than 116,18,no credits taken/all credit paid back,furniture/equipment,3244,less than 116,less than 4 years,1,female : divorced/separated/married,none,4,car or other,33,none,own,2,skilled employee,1,yes,Y,1
no checking account,24,existing credits paid back till now,business,4591,greater than 582,less than 4 years,2,male : single,none,3,building society saving agreement/life insurance,54,,own,3,self_employed/highly qualified employee,1,yes,Y,0
less than 116,48,no credits taken/all credit paid back,business,3844,less than 291,less than 7 years,4,male : single,none,4,unkown/no property,34,,for free,1,unskilled,2,none,Y,0
less than 116,27,existing credits paid back till now,business,3915,less than 116,less than 4 years,4,male : single,none,2,car or other,36,,own,1,skilled employee,2,yes,Y,0
no checking account,6,existing credits paid back till now,radio/television,2108,less than 116,less than 7 years,2,male : married/widowed,none,2,real estate,29,,rent,1,skilled employee,1,none,Y,1
less than 116,45,existing credits paid back till now,radio/television,3031,less than 291,less than 4 years,4,male : single,guarantor,4,building society saving agreement/life insurance,21,,rent,1,skilled employee,1,none,Y,0
less than 116,9,critical account/ other credits existing,education,1501,less than 116,greater than 7 years,2,female : divorced/separated/married,none,3,car or other,34,,own,2,self_employed/highly qualified employee,1,yes,Y,0
no checking account,6,critical account/ other credits existing,radio/television,1382,less than 116,less than 4 years,1,female : divorced/separated/married,none,1,car or other,28,,own,2,skilled employee,1,yes,Y,1
less than 116,12,existing credits paid back till now,furniture/equipment,951,less than 291,less than 1 year,4,female : divorced/separated/married,none,4,car or other,27,none,rent,4,skilled employee,1,none,Y,0
less than 116,24,existing credits paid back till now,used car,2760,unkown/no savings account,greater than 7 years,4,male : single,none,4,unkown/no property,36,none,for free,1,skilled employee,1,yes,Y,1
less than 116,18,delay in paying off in the past,furniture/equipment,4297,less than 116,greater than 7 years,4,male : divocred/separated,none,3,unkown/no property,40,,own,1,self_employed/highly qualified employee,1,yes,Y,0
no checking account,9,critical account/ other credits existing,education,936,less than 582,greater than 7 years,4,male : single,none,2,car or other,52,,own,2,skilled employee,1,yes,Y,1
less than 0,12,existing credits paid back till now,new car,1168,less than 116,less than 4 years,4,male : married/widowed,none,3,real estate,27,,own,1,unskilled,1,none,Y,1
no checking account,27,delay in paying off in the past,business,5117,less than 116,less than 7 years,3,male : single,none,4,car or other,26,,own,2,skilled employee,1,none,Y,1
less than 0,12,existing credits paid back till now,retraining,902,less than 116,less than 7 years,4,male : married/widowed,none,4,building society saving agreement/life insurance,21,,rent,1,skilled employee,1,none,Y,0
no checking account,12,critical account/ other credits existing,new car,1495,less than 116,greater than 7 years,4,male : single,none,1,real estate,38,,own,2,unskilled,2,none,Y,1
less than 0,30,critical account/ other credits existing,used car,10623,less than 116,greater than 7 years,3,male : single,none,4,unkown/no property,38,,for free,3,self_employed/highly qualified employee,2,yes,Y,1
no checking account,12,critical account/ other credits existing,furniture/equipment,1935,less than 116,greater than 7 years,4,male : single,none,4,real estate,43,,own,3,skilled employee,1,yes,Y,1
less than 116,12,critical account/ other credits existing,domestic appliances,1424,less than 116,less than 7 years,4,male : single,none,3,building society saving agreement/life insurance,26,,own,1,skilled employee,1,none,Y,1
less than 0,24,existing credits paid back till now,business,6568,less than 116,less than 4 years,2,male : married/widowed,none,2,car or other,21,stores,own,1,unskilled,1,none,Y,1
no checking account,12,existing credits paid back till now,used car,1413,greater than 582,less than 7 years,3,male : single,none,2,building society saving agreement/life insurance,55,,own,1,skilled employee,1,none,N,1
no checking account,9,critical account/ other credits existing,radio/television,3074,unkown/no savings account,less than 4 years,1,male : single,none,2,real estate,33,,own,2,skilled employee,2,none,Y,1
no checking account,36,existing credits paid back till now,radio/television,3835,unkown/no savings account,greater than 7 years,2,female : divorced/separated/married,none,4,real estate,45,,own,1,unskilled,1,yes,Y,1
less than 0,27,no credits taken/all credit paid back,business,5293,less than 116,unemployed,2,male : single,none,4,building society saving agreement/life insurance,50,stores,own,2,skilled employee,1,yes,Y,0
greater than or equal to 116,30,delay in paying off in the past,business,1908,less than 116,greater than 7 years,4,male : single,none,4,real estate,66,,own,1,self_employed/highly qualified employee,1,yes,Y,0
no checking account,36,critical account/ other credits existing,radio/television,3342,unkown/no savings account,greater than 7 years,4,male : single,none,2,car or other,51,,own,1,skilled employee,1,yes,Y,1
less than 116,6,critical account/ other credits existing,retraining,932,unkown/no savings account,less than 7 years,1,female : divorced/separated/married,none,3,building society saving agreement/life insurance,39,,own,2,unskilled,1,none,Y,1
less than 0,18,no credits taken/all credit paid back,business,3104,less than 116,less than 7 years,3,male : single,none,1,building society saving agreement/life insurance,31,none,own,1,skilled employee,1,yes,Y,1
greater than or equal to 116,36,existing credits paid back till now,radio/television,3913,less than 116,less than 4 years,2,male : single,none,2,real estate,23,,own,1,skilled employee,1,yes,Y,1
less than 0,24,existing credits paid back till now,furniture/equipment,3021,less than 116,less than 4 years,2,male : divocred/separated,none,2,real estate,24,,rent,1,unskilled,1,none,Y,1
